,dt,new_users_count,day_after_install,retained_users_count,retention
500,2020-01-28,81,110.0,3.0,0.037037037037037035
501,2020-01-28,81,112.0,1.0,0.012345679012345678
502,2020-01-28,81,119.0,1.0,0.012345679012345678
503,2020-01-28,81,120.0,1.0,0.012345679012345678
504,2020-01-28,81,121.0,1.0,0.012345679012345678
505,2020-01-28,81,122.0,1.0,0.012345679012345678
506,2020-01-28,81,123.0,1.0,0.012345679012345678
507,2020-01-28,81,124.0,1.0,0.012345679012345678
508,2020-01-28,81,125.0,2.0,0.024691358024691357
509,2020-01-28,81,126.0,2.0,0.024691358024691357
510,2020-01-28,81,129.0,2.0,0.024691358024691357
511,2020-01-28,81,130.0,1.0,0.012345679012345678
